Station Name,Station Code,Lat,Long
agra fort,AF,27.183265,78.018656
ajmer,AII,26.456541,74.637528
allahabad,ALD,25.445910,81.828732
aluva,AWY,10.108261,76.356277
amritsar,ASR,31.631350,74.860343
anantapur,ATP,14.686436,77.595254
ara,ARA,25.548666,84.662091
aunrihar,ARJ,25.544842,83.187182
azimganj junction,AZ,24.229472,88.259779
angar,AAG,17.928313,75.608418
adesar,AAR,23.561184,70.982868
abada,ABB,22.547837,88.199689
ambaturai,ABI,10.271871,77.924056
akbarpur,ABP,26.429211,82.540035
acharapakkam,ACK,12.407082,79.821766
acharya narendra dev nagar,ACND,26.775355,82.157692
andheri,ADH,19.116624,72.846583
adavali,ADVI,16.921857,73.592808
amrelipara,AEP,21.608091,71.228301
agra city,AGA,27.194340,78.015525
amguri,AGI,26.812787,94.524097
agorikhas,AGY,24.598675,83.055862
ahalyapur,AHLR,26.468393,83.824652
anjar,AJE,23.119285,70.036248
ajitwal,AJL,30.808265,75.335155
ajaibpur,AJR,28.472549,77.593543
akbarnagar,AKN,25.235496,86.834947
akurdi,AKRD,18.648446,73.764481
akividu,AKVD,16.583049,81.369336
alai,ALAI,27.337644,73.585190
alamanda,ALM,18.012087,83.271241
alwal,ALW,17.505268,78.514425
amin,AMIN,29.904707,76.899785
amroha,AMRO,28.892309,78.474342
amanvadi,AMW,20.366930,77.074247
anas,ANAS,22.865291,74.421192
ajanti,ANI,21.894902,76.286342
anjani,ANO,17.621073,73.399818
anandpur sahib,ANSB,31.229885,76.500258
ashokapuram,AP,12.274215,76.635656
aruppukkottai,APK,9.524682,78.103420
apta,APTA,18.863539,73.152990
arnetha,ARE,25.389832,76.018608
atrampur,ARP,25.572166,81.745725
arvi,ARVI,20.992795,78.223298
ambasamudram,ASD,8.707912,77.438752
aslu,ASLU,28.368491,75.075029
asnoti,AT,14.876276,74.147649
antah,ATH,25.160978,76.307364
attar,ATR,21.999032,76.205146
atul,ATUL,20.544953,72.927588
anupshahr,AUS,28.947992,75.211348
alawalpur,AWL,31.425601,75.642778
ayandur,AYD,11.967256,79.341329
ayyampet,AZP,10.896378,79.206950
achalda,ULD,26.702152,79.404147
ambliyasan,UMN,23.450058,72.422210
achhnera,AH,27.182138,77.757901
agra cantt,AGC,27.158677,77.989783
akola,AK,20.725291,77.005892
alappuzha,ALLP,9.483879,76.322297
amalner,AN,21.049779,75.057900
anakapalle,AKP,17.695360,83.008443
angul,ANGL,20.861459,85.099397
arakkonam,AJJ,13.082195,79.668750
aurangabad,AWB,19.861826,75.311079
ankaikila,AAK,20.186813,74.437809
asranada,AAS,26.397374,73.305681
ambli road,ABD,23.053889,72.493047
ambika kalna,ABKA,23.213119,88.353429
abohar,ABS,30.139430,74.194640
ancheli,ACL,20.845678,72.945310
adilabad,ADB,19.681627,78.536010
amreli,AE,21.608360,71.228288
angamali,AFK,10.185863,76.377783
agas,AGAS,22.502110,72.883962
amgaon,AGN,21.362932,80.374918
amagura,AGZ,19.068364,82.147508
ahiran,AHN,24.541580,88.034120
alindra road,AIR,22.451133,73.250134
